类别,词,处理建议
病征,生病,旧库保守口径；奶粉商业稿排查产品预防疾病的暗示并删除该因果；真实就医叙述不等于违法；勿用状态变好掩饰功效〔S01第17条／S03第37条〕
病征,感冒,旧库保守口径；删除普通食品防感冒的产品归因；科普或真实病史需人工判断而非见词即删〔S01第17条／S03第37条〕
病征,病了,旧库保守口径；检查是否将患病或恢复归因于产品；不以状态不太好作规避替换〔S01第17条／S03第37条〕
病征,发烧,旧库保守口径；不得宣传奶粉预防发热或退热；就医提醒与病史叙述另作语境判断〔S01第17条／S03第37条〕
病征,便秘,旧库保守口径；删除奶粉解决病征的因果或保证；改写排便细节仍不得暗示治疗〔S01第17条／S03第37条〕
病征,腹泻,旧库保守口径；普通奶粉不得宣称止泻；特殊医学用途食品另核产品注册及投放准入〔S01第17条／S10禁推清单〕
病征,拉肚子,旧库保守口径；删除普通食品止泻或竞品致病的无依据归因；不可换口语继续承诺〔S01第13及17条〕
病征,湿疹,旧库保守口径；非医疗类商品不得借病史暗示治湿疹；不得简单换成泛红继续承诺〔S01第17条／S06〕
病征,过敏,旧库保守口径；区分过敏原警示与防治宣传；不得删除必要风险提示；特殊配方另核注册及准入〔S01第17条／S03／S10〕
病征,上火,旧库保守口径；奶粉广告不得借上火与换奶前后对比暗示防病疗效；不要只换为小情绪〔S01第17条／S03〕
病征,肠绞痛,旧库保守口径；删除普通奶粉防治该病征的宣传；真实求医问题不按广告结论处理〔S01第17条／S03〕
病征,受小风小寒,旧库保守口径；检查是否以委婉词宣传奶粉让孩子少患病；应去除产品功效因果〔S01第17条／S03〕
药效,治疗,非医疗类商品广告不得宣称治疗；药械及医疗服务也须核准入和广告审查内容；保留必要风险警示〔S01第16及17条／S05第7条〕
药效,治好,非医疗类商品删除治好病征的承诺；医疗类也不得无依据保证结果；不改成体感变好继续暗示〔S01第16及17条〕
药效,缓解,旧库宽匹配词需人工复核；奶粉缓解病征不允许；合规化妆品舒缓等须核年龄及功效依据而非一律删词〔S01／S07／S08〕
药效,见效,旧库宽匹配词需人工复核；删除奶粉及普通用品的医疗效果暗示；一般使用效果也须有相应依据〔S01／S08〕
药效,调理,旧库宽匹配词需人工复核；普通食品不得借调理宣称保健或治疗作用；不要改成养护继续表达同一禁限功效〔S01／S04第38条〕
医疗功效,治愈,非医疗类广告删除疾病治愈暗示；医疗类不得保证疗效；风险提示或否定句人工排除〔S01第16及17条〕
医疗功效,根治,删除根除疾病或永久解决身体问题的商品承诺；有医疗资质也不能保证根治〔S01第16及17条〕
医疗功效,药到病除,删除药效保证及将普通商品包装成药品的说法〔S01第16及17条〕
医疗功效,消炎,食品及普通洗护用品不得宣称消炎；不能直接替换成舒缓而保留治疗指向〔S01第17条／S06〕
医疗功效,抗炎,非药械广告排查并删除抗炎治疗暗示；配方研究介绍也不能直接推成产品疗效〔S01第17条／S06〕
医疗功效,止痛,普通母婴用品及非医疗服务不得宣称止痛治疗；药械或医疗服务另核许可及审查内容〔S01第16及17条〕
医疗功效,抗病毒,普通食品及化妆品不得宣称人体抗病毒；消毒用品的作用对象及合法标示需另核〔S01第17条／S09〕
医疗功效,退烧,删除普通食品或用品退烧的宣称；医疗器械须按注册范围与获审广告处理〔S01第16及17条／S05〕
医疗功效,退热,核商品是否具备对应合法属性；普通商品不得宣称退热；不能从物理凉感推导治疗效果〔S01第17条〕
医疗功效,止泻,普通食品不得宣传止泻；特殊医学用途配方食品不能当药物推销且须另核准入〔S01／S03／S10〕
医疗功效,脱敏,不得为普通奶粉或化妆品宣传脱敏治疗；水解等配方名称不等于可脱敏〔S01第17条／S03／S06〕
医疗功效,抗敏,化妆品或普通食品不得以抗敏暗示治疗；适用于敏感肌须另有合法功效依据并核年龄〔S01第17条／S08〕
医疗功效,预防疾病,删除普通母婴食品或用品预防疾病的商品承诺；不改写成少跑医院规避〔S03第37条／S01〕
医疗功效,不用吃药,删除用普通商品替代必要治疗或鼓励停药的暗示；保留正常就医提醒〔S01第17条〕
医疗功效,不用去医院,删除商品可以替代诊疗的宣传；不能用个人体验包装该保证〔S01第17条〕
食品保健功效,增强免疫力,奶粉及非保健食品不得作此保健宣传；改为可核对的配料信息且不得暗接免疫结论〔S04第38条／S03第37条〕
食品保健功效,提高免疫力,奶粉及非保健食品删除免疫功能承诺；保健食品也须核获批功能和适宜人群〔S04／S03〕
食品保健功效,提升免疫力,奶粉及非保健食品删除该功能宣称；不能换成保护力提升继续表达同义效果〔S04／S03〕
食品保健功效,增加抵抗力,婴配乳粉标签禁用该类功能表述；宣传普通食品时也不得暗示相应保健功能〔S03第37条／S04第38条〕
食品保健功效,提高抵抗力,奶粉及非保健食品删除提升抵抗能力的功效归因；不是有成分研究就可声称〔S03／S04〕
食品保健功效,增强抵抗力,奶粉及非保健食品删除该功能承诺；保留成分名称不等于可保留功能结论〔S03／S04〕
食品保健功效,调节肠道菌群,奶粉及非保健食品不得作该保健功能宣传；益生菌名称不自动赋予功能宣称资格〔S03第37条／S04第38条〕
食品保健功效,平衡肠道菌群,普通食品若借此宣称调节菌群功能应删除；不换委婉词保留相同暗示〔S03／S04；同义表述研判〕
食品保健功效,保护肠道,婴配乳粉标签不得作此功能表述；商品宣传也须遵守食品保健功能限制〔S03第37条／S04〕
食品保健功效,修复肠道,删除普通食品修复身体组织或治疗的暗示；不能凭体外成分研究推断婴儿效果〔S01／S03／S04〕
食品保健功效,益智,奶粉不得借益智宣传功能；其他食品也需区分法定营养作用与夸张智力承诺〔S03第37条／S04〕
食品保健功效,提高智商,删除食品提高智商的商品承诺；不能将DHA等成分存在直接推成智力结果〔S01第4及28条／S03〕
食品保健功效,提升智商,删除对婴幼儿智力结果的无依据保证；不得用个案作产品效果证据〔S01第4及28条／S03〕
食品保健功效,开发智力,食品广告中删除该效果承诺；其他品类需另按教育等规则审查而非只改词〔S03／S04〕
食品保健功效,增强记忆力,奶粉及非保健食品不得借此宣传保健作用；不能用妈妈体验替代产品依据〔S03／S04〕
疾病结果暗示,少生病,删除把患病次数减少归因于普通食品的宣传；并非加我家或个人感觉就免责〔S01／S03；语义研判〕
疾病结果暗示,不生病,删除产品保证孩子不患病的宣传；否定该承诺的科普句另行复核〔S01／S03〕
疾病结果暗示,少跑医院,若用于食品或普通用品效果宣传应删除其诊疗替代暗示；正常生活叙述需人工判断〔S01／S03；语义研判〕
母乳替代暗示,替代母乳,涉及商品替代母乳的婴儿食品广告应停止该宣传并核投放准入；不以换同义词处理〔S01第20条／S10〕
母乳替代暗示,代替母乳,删除商品替代母乳的商业宣称并核准入；正确的不能代替等提示需排除〔S01第20条／S10〕
母乳替代暗示,母乳化,婴配乳粉标签禁止该近似人乳术语；广告中另排查母乳替代暗示〔S03第37条／S01第20条〕
母乳替代暗示,人乳化,婴配乳粉标签不得采用该术语；产品推广不得借此暗示母乳替代〔S03／S01〕
母乳替代暗示,接近母乳,奶粉商业稿按母乳类比高风险复核并移除替代或等同暗示；不是仅删接近二字〔S01／S03；语义研判〕
母乳替代暗示,贴近母乳,删除将商品类比母乳并暗示替代的卖点；核产品和投放场景〔S01／S03；语义研判〕
母乳替代暗示,媲美母乳,删除母乳等同及优劣比较宣传；不以体感或宝妈反馈掩饰〔S01／S03；语义研判〕
母乳替代暗示,优于母乳,删除商品优于母乳或替代母乳的宣传并复核整个投放项目准入〔S01第20条／S03／S10〕
母乳替代暗示,仿生母乳,婴配乳粉标签和广告排查近似母乳化及替代暗示；移除该商品宣称〔S03／S01；语义研判〕
母乳替代暗示,母乳平替,删除将商品作为母乳替代品宣传的说法；不得换成平替谐音〔S01第20条；语义研判〕
绝对化商品宣传,国家级,当作商品质量等级或官方背书时删除；合法称号及非商品指向等例外须核实且不得误导〔S01第9条／S02〕
绝对化商品宣传,最高级,删除商品排他性最高等级宣传；标准分级或注册名称等情形须有真实依据〔S01第9条／S02〕
