项目,月龄下限,月龄上限,参考下限,参考上限,单位,说明
适用段位,6,12,,,,2 段适用月龄
单次奶量,6,9,180,240,ml,
单次奶量,9,12,200,250,ml,
日均总奶量,6,9,600,800,ml,全天累计
日均总奶量,9,12,600,750,ml,全天累计
冲调比例,,,13,13,g粉/100ml,约 1 平勺 4.4g 配 30ml
罐消耗天数,6,12,8,14,天,800g 一罐。算法：日均奶量÷100×13＝日均耗粉(g)，800÷日均耗粉＝天数
体重,6,6,6.4,9.8,kg,
体重,9,9,7.1,11.0,kg,
体重,12,12,7.8,12.0,kg,
身长,6,6,63,72,cm,
身长,9,9,67,77,cm,
身长,12,12,71,82,cm,
行为最早月龄,,,,5,月,坐
行为最早月龄,,,,7,月,爬
行为最早月龄,,,,8,月,扶站
行为最早月龄,,,,10,月,扶走
行为最早月龄,,,,11,月,独走
行为最早月龄,,,,4,月,长牙
场景最早月龄,,,,4,月,加辅食
场景最早月龄,,,,4,月,断母乳
场景最早月龄,,,,18,月,上托班
场景最早月龄,,,,36,月,上幼儿园
