词,来源,处理建议
胀胀的,历史编辑标注会卡审；原库记录未附后台凭证,保留历史预警；复核奶粉是否被描述为改善病征；不能只换隐晦说法；补留实际驳回截图与投放场景
胀气,历史编辑标注会卡审；原库记录未附后台凭证,保留历史预警；区分症状叙述与商品功效；删除无依据的产品改善因果而非换谐音
一段奶粉,聚光公开准入规则·S10；非单词实测,【聚光准入提示；非单词实测】如用于商业投放先核禁推范围；不得删一段或改月龄来绕过准入；普通讨论不因命中即判违规
1段奶粉,聚光公开准入规则·S10；非单词实测,【聚光准入提示；非单词实测】聚光禁推范围涉及此类产品；停止按换词思路处理并确认真实产品及渠道
二段奶粉,聚光公开准入规则·S10；非单词实测,【聚光准入提示；非单词实测】聚光公开规则同时列入二段；不得误以为只有一段禁推；蒲公英或其他入口另核实时规则
2段奶粉,聚光公开准入规则·S10；非单词实测,【聚光准入提示；非单词实测】先判断产品是否落在禁推范围；不能把二段文案改为三段或隐去年龄继续投放
0-12个月,准入语境触发·S10；非单词实测,【准入语境提示；非单词实测】核是否在推广该月龄婴儿配方乳制品；年龄本身不是禁词；不要篡改产品真实适用月龄
0—12个月,准入语境触发·S10；非单词实测,【准入语境提示；非单词实测】核产品类别及聚光准入；育儿科普提到该月龄不自动构成违规广告
0至12个月,准入语境触发·S10；非单词实测,【准入语境提示；非单词实测】核是否属于聚光禁推的婴儿配方乳制品；不能仅删年龄规避
6-12个月,准入语境触发·S10；非单词实测,【准入语境提示；非单词实测】若关联二段婴配乳制品须先核禁推范围；不把所有该年龄用品一律禁推
6—12个月,准入语境触发·S10；非单词实测,【准入语境提示；非单词实测】识别真实产品及广告入口；禁止用伪造月龄解决准入限制
6至12个月,准入语境触发·S10；非单词实测,【准入语境提示；非单词实测】若为婴儿配方乳制品商业推广先核准入；其他产品另按类别判断
0-6个月,准入语境触发·S10；非单词实测,【准入语境提示；非单词实测】核是否推广婴儿配方乳制品或0至6月龄辅食；年龄叙述不是自动删除对象
特殊医学用途婴儿配方食品,聚光公开准入规则·S10；S05第7条,【聚光准入提示；非单词实测】先核该产品禁推及广告审查要求；有注册证不代表可在任意入口推广
特定全营养配方食品,聚光公开准入规则·S10；S04第37条,【聚光准入提示；非单词实测】核禁推范围和处方药广告管理要求；不能按普通母婴食品种草处理
最好,绝对化语境风险·S02／S10；未实测,【规则风险提示；未实测】区分商品排他评价与自我偏好及使用提示；若用于绝对品质结论应改实；不自动删除最好先看说明书
唯一,绝对化语境风险·S02；未实测,【规则风险提示；未实测】核范围与真实性；唯一可用唯一适合等排他结论高风险；合法专利或限定事实不一律禁用
天花板,绝对化近义研判·S02／S10；未实测,【规则风险提示；未实测】用于商品性能或等级极致比较时删去夸张结论；不是已证实的全平台敏感词
yyds,夸张表达研判·S02／S10；未实测,【规则风险提示；未实测】核是否表达商品绝对最佳；不能断言该缩写单独必卡；避免用缩写规避禁限宣传
YYDS,夸张表达研判·S02／S10；未实测,【规则风险提示；未实测】同义大写用于识别；按商品指向判断而非按网络口语直接判违法
